*	alice29.txt=2.785329835010767,cp.html=3.1398790864012365,asyoulik.txt=2.1760912590556813,fields.c=3.7151673578484576,grammar.lsp=2.732393759822968,lcet10.txt=3.814913181275074,plrabn12.txt=2.0,xargs.1=1.8450980400142567,8
northward*	plrabn12.txt=1.0,1
northwind*	plrabn12.txt=1.0,1
norumbega*	plrabn12.txt=1.0,1
norunifempty*	xargs.1=1.3010299956639813,1
norway*	plrabn12.txt=1.0,1
norwegian*	plrabn12.txt=1.0,1
nose*	alice29.txt=1.9030899869919433,asyoulik.txt=1.3010299956639813,2
nostril*	plrabn12.txt=1.0,1
nostrils*	plrabn12.txt=1.3010299956639813,1
not*	asyoulik.txt=3.3996737214810375,alice29.txt=3.1583624920952493,grammar.lsp=1.0,lcet10.txt=3.5403294747908736,plrabn12.txt=3.7972675408307164,xargs.1=1.7781512503836434,6
notanother*	plrabn12.txt=1.0,1
notation*	lcet10.txt=1.3010299956639813,1
notations*	lcet10.txt=1.0,1
note*	asyoulik.txt=1.6020599913279623,lcet10.txt=1.8450980400142567,plrabn12.txt=1.3010299956639813,3
notebook*	alice29.txt=1.3010299956639813,1
noted*	lcet10.txt=2.556302500767287,1
notes*	lcet10.txt=1.8450980400142567,plrabn12.txt=1.6989700043360187,2
notetaking*	lcet10.txt=1.0,1
notforprofit*	lcet10.txt=1.0,1
nothing*	alice29.txt=2.5314789170422554,asyoulik.txt=2.113943352306837,grammar.lsp=1.3010299956639813,lcet10.txt=1.7781512503836434,plrabn12.txt=2.1461280356782377,5
notice*	alice29.txt=1.6989700043360187,asyoulik.txt=1.0,lcet10.txt=1.0,plrabn12.txt=1.0,4
noticed*	alice29.txt=1.9030899869919433,lcet10.txt=1.0,2
noticing*	alice29.txt=1.0,1
noting*	lcet10.txt=2.0791812460476247,1
notion*	alice29.txt=1.4771212547196624,lcet10.txt=2.0,plrabn12.txt=1.0,3
notions*	lcet10.txt=1.4771212547196624,plrabn12.txt=1.0,2
notoriously*	lcet10.txt=1.0,1
notquiteperfect*	lcet10.txt=1.0,1
notthen*	asyoulik.txt=1.0,1
notus*	plrabn12.txt=1.0,1
notwithstanding*	lcet10.txt=1.3010299956639813,1
nought*	plrabn12.txt=1.6989700043360187,1
noun*	grammar.lsp=1.4771212547196624,1
nouns*	lcet10.txt=1.0,1
nourish*	plrabn12.txt=1.4771212547196624,1
nourisher*	plrabn12.txt=1.0,1
nourishment*	plrabn12.txt=1.6020599913279623,1
novel*	lcet10.txt=1.0,1
novelty*	plrabn12.txt=1.0,1
novices*	lcet10.txt=1.0,1
novo*	lcet10.txt=1.6020599913279623,1
now*	alice29.txt=2.7558748556724915,asyoulik.txt=2.7708520116421442,lcet10.txt=2.4771212547196626,plrabn12.txt=3.511883360978874,4
nowadays*	lcet10.txt=1.0,1
nowbut*	alice29.txt=1.0,1
nowdont*	alice29.txt=1.0,1
nowhere*	alice29.txt=1.3010299956639813,lcet10.txt=1.0,2
noxious*	plrabn12.txt=1.4771212547196624,1
np*	grammar.lsp=2.041392685158225,1
nren*	lcet10.txt=1.4771212547196624,1
nroff*	xargs.1=1.0,1
nsfnet*	lcet10.txt=1.0,1
nsz*	lcet10.txt=1.4771212547196624,1
ntis*	lcet10.txt=1.0,1
nuisance*	lcet10.txt=1.0,1
null*	fields.c=2.431363764158987,xargs.1=1.4771212547196624,2
nullpointer*	fields.c=1.0,1
nulls*	xargs.1=1.0,1
number*	alice29.txt=1.6989700043360187,asyoulik.txt=1.0,fields.c=1.6020599913279623,grammar.lsp=1.4771212547196624,lcet10.txt=2.6989700043360187,plrabn12.txt=2.1760912590556813,xargs.1=1.0,7
numbered*	plrabn12.txt=1.6020599913279623,lcet10.txt=1.0,2
numberless*	plrabn12.txt=1.9030899869919433,1
numberlesslike*	plrabn12.txt=1.0,1
numbers*	lcet10.txt=1.9542425094393248,plrabn12.txt=1.9542425094393248,2
numerous*	lcet10.txt=2.5440680443502757,plrabn12.txt=2.1461280356782377,2
nun*	asyoulik.txt=1.3010299956639813,1
nuptial*	asyoulik.txt=1.0,plrabn12.txt=1.8450980400142567,2
nurse*	alice29.txt=1.3010299956639813,asyoulik.txt=1.0,2
nurseand*	alice29.txt=1.0,1
nursery*	plrabn12.txt=1.0,1
nurses*	asyoulik.txt=1.0,1
nursing*	alice29.txt=1.4771212547196624,1
nurture*	asyoulik.txt=1.0,1
nut*	asyoulik.txt=1.4771212547196624,1
nutriment*	plrabn12.txt=1.0,1
nutriments*	plrabn12.txt=1.0,1
nw*	lcet10.txt=2.0,1
ny*	lcet10.txt=1.3010299956639813,plrabn12.txt=1.0,2
nymph*	plrabn12.txt=1.0,1
nymphlike*	plrabn12.txt=1.0,1
nyseian*	plrabn12.txt=1.0,1
nz*	fields.c=1.4771212547196624,1
o*	alice29.txt=1.3010299956639813,asyoulik.txt=2.716003343634799,plrabn12.txt=2.959041392321093,3
oak*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.0,2
oakland*	lcet10.txt=1.0,1
oaks*	plrabn12.txt=1.0,1
oar*	plrabn12.txt=1.0,1
oary*	plrabn12.txt=1.0,1
oath*	asyoulik.txt=1.4771212547196624,plrabn12.txt=1.0,2
oaths*	asyoulik.txt=1.4771212547196624,1
ob*	plrabn12.txt=1.0,1
obdurate*	plrabn12.txt=1.4771212547196624,1
obdured*	plrabn12.txt=1.3010299956639813,1
obedience*	plrabn12.txt=2.3010299956639813,1
obedient*	plrabn12.txt=1.6020599913279623,1
obey*	plrabn12.txt=1.9542425094393248,1
obeyed*	plrabn12.txt=2.0,1
obeying*	plrabn12.txt=1.3010299956639813,1
obeys*	plrabn12.txt=1.4771212547196624,1
obj*	grammar.lsp=1.6020599913279623,1
obj2*	grammar.lsp=1.3010299956639813,1
object*	asyoulik.txt=1.0,lcet10.txt=1.9542425094393248,plrabn12.txt=1.9030899869919433,3
objection*	lcet10.txt=1.0,1
objective*	cp.html=1.0,lcet10.txt=1.7781512503836434,2
objects*	lcet10.txt=1.8450980400142567,asyoulik.txt=1.0,plrabn12.txt=1.4771212547196624,3
oblige*	plrabn12.txt=1.0,1
obliged*	alice29.txt=1.4771212547196624,lcet10.txt=1.0,2
oblique*	plrabn12.txt=1.4771212547196624,1
obliquities*	plrabn12.txt=1.0,1
oblivion*	asyoulik.txt=1.0,plrabn12.txt=1.3010299956639813,2
oblivious*	plrabn12.txt=1.0,1
oblong*	alice29.txt=1.0,1
obloquy*	plrabn12.txt=1.0,1
obnoxious*	plrabn12.txt=1.3010299956639813,1
obominable*	plrabn12.txt=1.0,1
obscene*	plrabn12.txt=1.0,1
obscure*	plrabn12.txt=2.0791812460476247,1
obscured*	asyoulik.txt=1.0,plrabn12.txt=1.8450980400142567,2
obscurely*	plrabn12.txt=1.0,1
obscuring*	asyoulik.txt=1.0,1
obsequious*	plrabn12.txt=1.4771212547196624,1
observance*	asyoulik.txt=1.4771212547196624,1
observation*	asyoulik.txt=1.0,lcet10.txt=1.6989700043360187,2
observations*	lcet10.txt=1.3010299956639813,1
observe*	plrabn12.txt=1.6020599913279623,1
observed*	lcet10.txt=2.2041199826559246,plrabn12.txt=1.8450980400142567,2
observer*	lcet10.txt=1.3010299956639813,1
observers*	lcet10.txt=1.3010299956639813,1
observes*	plrabn12.txt=1.0,1
observing*	lcet10.txt=1.0,plrabn12.txt=1.0,2
obsolete*	lcet10.txt=1.0,1
obstacle*	alice29.txt=1.0,lcet10.txt=1.4771212547196624,plrabn12.txt=1.3010299956639813,3
obstinacy*	plrabn12.txt=1.0,1
obstruct*	plrabn12.txt=1.4771212547196624,1
obtain*	lcet10.txt=1.8450980400142567,plrabn12.txt=1.8450980400142567,2
obtained*	lcet10.txt=1.0,plrabn12.txt=1.3010299956639813,2
obtaining*	lcet10.txt=1.4771212547196624,1
obtains*	plrabn12.txt=1.0,1
obtruded*	plrabn12.txt=1.0,1
obtrusive*	plrabn12.txt=1.0,1
obtuse*	plrabn12.txt=1.0,1
obvious*	lcet10.txt=1.6989700043360187,plrabn12.txt=1.6989700043360187,2
obviously*	lcet10.txt=1.4771212547196624,1
occasion*	asyoulik.txt=1.4771212547196624,lcet10.txt=1.3010299956639813,plrabn12.txt=1.6989700043360187,3
occasional*	lcet10.txt=1.0,alice29.txt=1.0,2
occasionally*	lcet10.txt=1.6989700043360187,plrabn12.txt=1.0,alice29.txt=1.0,3
occasioned*	plrabn12.txt=1.0,1
occupy*	lcet10.txt=1.0,1
occur*	grammar.lsp=1.4771212547196624,lcet10.txt=1.7781512503836434,2
occurences*	xargs.1=1.0,1
occurred*	xargs.1=1.0,alice29.txt=1.3010299956639813,lcet10.txt=1.6020599913279623,3
occurrences*	lcet10.txt=1.3010299956639813,1
occurring*	lcet10.txt=1.4771212547196624,1
occurs*	fields.c=1.0,lcet10.txt=1.4771212547196624,xargs.1=1.0,3
ocean*	plrabn12.txt=2.1461280356782377,1
oceanbrim*	plrabn12.txt=1.0,1
oceanstream*	plrabn12.txt=1.0,1
oclc*	lcet10.txt=2.505149978319906,1
oclcs*	lcet10.txt=1.7781512503836434,1
oclock*	asyoulik.txt=1.6989700043360187,alice29.txt=1.4771212547196624,2
ocr*	cp.html=1.0,lcet10.txt=2.724275869600789,2
ocrhelp*	lcet10.txt=1.0,1
octal*	fields.c=1.0,1
october*	lcet10.txt=1.4771212547196624,plrabn12.txt=1.0,2
oda*	lcet10.txt=2.0,1
odd*	alice29.txt=1.0,1
odds*	asyoulik.txt=1.0,plrabn12.txt=1.6989700043360187,2
odes*	asyoulik.txt=1.0,1
odious*	asyoulik.txt=1.0,plrabn12.txt=1.6989700043360187,2
odoriferous*	plrabn12.txt=1.0,1
odorous*	plrabn12.txt=1.6020599913279623,1
odour*	plrabn12.txt=1.0,1
odours*	plrabn12.txt=1.7781512503836434,1
ods*	asyoulik.txt=1.3010299956639813,1
oechalia*	plrabn12.txt=1.0,1
oer*	asyoulik.txt=1.3010299956639813,plrabn12.txt=2.5440680443502757,2
oerblown*	plrabn12.txt=1.0,1
oerflowed*	plrabn12.txt=1.0,1
oergrown*	asyoulik.txt=1.0,1
oerheard*	asyoulik.txt=1.0,1
oerleaped*	plrabn12.txt=1.0,1
oermatched*	plrabn12.txt=1.0,1
oerpowered*	plrabn12.txt=1.0,1
oerrun*	asyoulik.txt=1.0,1
oershades*	plrabn12.txt=1.0,1
oerspread*	plrabn12.txt=1.0,1
oerthrew*	plrabn12.txt=1.0,1
oerwatched*	plrabn12.txt=1.0,1
oerwearied*	plrabn12.txt=1.0,1
oerwhelm*	plrabn12.txt=1.0,1
oerwhelmed*	plrabn12.txt=1.0,1
oeta*	plrabn12.txt=1.0,1
of*	alice29.txt=3.705007959333336,asyoulik.txt=3.632457292184724,cp.html=2.0791812460476247,fields.c=2.041392685158225,lcet10.txt=4.391640703492388,plrabn12.txt=4.314499227973151,xargs.1=2.1461280356782377,7
off*	lcet10.txt=2.041392685158225,alice29.txt=2.863322860120456,asyoulik.txt=1.6989700043360187,plrabn12.txt=2.591064607026499,4
offal*	plrabn12.txt=1.0,1
offence*	plrabn12.txt=1.7781512503836434,asyoulik.txt=1.0,2
offences*	asyoulik.txt=1.0,1
offend*	alice29.txt=1.0,asyoulik.txt=1.3010299956639813,plrabn12.txt=1.6989700043360187,3
offended*	alice29.txt=2.0,plrabn12.txt=1.7781512503836434,2
offenders*	asyoulik.txt=1.0,1
offending*	plrabn12.txt=1.0,1
offensive*	plrabn12.txt=1.0,1
offer*	alice29.txt=1.3010299956639813,asyoulik.txt=1.6020599913279623,lcet10.txt=2.0791812460476247,plrabn12.txt=1.6020599913279623,4
offerd*	plrabn12.txt=1.0,1
offered*	lcet10.txt=2.1461280356782377,plrabn12.txt=1.9030899869919433,2
offering*	lcet10.txt=1.9030899869919433,plrabn12.txt=1.4771212547196624,2
offerings*	lcet10.txt=1.0,plrabn12.txt=1.3010299956639813,2
offers*	lcet10.txt=2.1461280356782377,1
offerst*	asyoulik.txt=1.0,1
office*	asyoulik.txt=1.0,lcet10.txt=2.505149978319906,plrabn12.txt=1.9542425094393248,3
officer*	alice29.txt=1.0,lcet10.txt=1.4771212547196624,2
officers*	alice29.txt=1.6020599913279623,asyoulik.txt=1.0,2
offices*	lcet10.txt=2.041392685158225,plrabn12.txt=1.0,2
official*	lcet10.txt=1.4771212547196624,1
officially*	lcet10.txt=1.3010299956639813,1
officiate*	plrabn12.txt=1.0,1
officious*	plrabn12.txt=1.3010299956639813,1
offspring*	plrabn12.txt=2.1461280356782377,1
offthe*	lcet10.txt=1.0,1
oft*	asyoulik.txt=1.6989700043360187,plrabn12.txt=2.7558748556724915,2
often*	asyoulik.txt=1.4771212547196624,alice29.txt=1.6989700043360187,lcet10.txt=2.342422680822206,plrabn12.txt=1.3010299956639813,4
oftentimes*	lcet10.txt=1.0,1
oftest*	plrabn12.txt=1.0,1
oftmade*	lcet10.txt=1.0,1
ofttimes*	plrabn12.txt=1.3010299956639813,1
oh*	alice29.txt=2.57978359661681,lcet10.txt=1.0,plrabn12.txt=1.0,3
oil*	plrabn12.txt=1.0,1
ointmentone*	alice29.txt=1.0,1
ojcct*	lcet10.txt=2.1461280356782377,1
old*	alice29.txt=2.278753600952829,asyoulik.txt=2.5440680443502757,lcet10.txt=1.6989700043360187,plrabn12.txt=2.4771212547196626,4
older*	alice29.txt=1.3010299956639813,lcet10.txt=2.041392685158225,plrabn12.txt=1.0,3
oldest*	alice29.txt=1.0,plrabn12.txt=1.0,2
olin*	lcet10.txt=1.3010299956639813,1
olive*	asyoulik.txt=1.0,1
oliveleaf*	plrabn12.txt=1.0,1
oliver*	asyoulik.txt=2.7558748556724915,1
olivers*	asyoulik.txt=1.4771212547196624,1
olives*	asyoulik.txt=1.0,1
olympian*	plrabn12.txt=1.3010299956639813,1
olympias*	plrabn12.txt=1.0,1
olympus*	plrabn12.txt=1.4771212547196624,1
ominous*	asyoulik.txt=1.0,plrabn12.txt=1.0,2
omission*	lcet10.txt=1.0,1
omits*	lcet10.txt=1.0,1
omittance*	asyoulik.txt=1.0,1
omitted*	lcet10.txt=1.3010299956639813,xargs.1=1.4771212547196624,2
omnifick*	plrabn12.txt=1.0,1
omnipotence*	plrabn12.txt=1.6989700043360187,1
omnipotent*	plrabn12.txt=2.0791812460476247,1
omnipresence*	plrabn12.txt=1.3010299956639813,1
omniscient*	plrabn12.txt=1.4771212547196624,1
on*	lcet10.txt=3.631443769013172,alice29.txt=3.2855573090077734,asyoulik.txt=2.8061799739838866,cp.html=1.0,fields.c=1.0,plrabn12.txt=3.730782275666389,xargs.1=1.4771212547196624,7
once*	asyoulik.txt=1.6989700043360187,lcet10.txt=2.113943352306837,plrabn12.txt=2.832508912706236,xargs.1=1.0,alice29.txt=2.505149978319906,5
one*	xargs.1=1.3010299956639813,alice29.txt=3.0043213737826426,asyoulik.txt=2.662757831681574,fields.c=1.0,lcet10.txt=3.559906625036112,plrabn12.txt=3.1492191126553797,6
onebut*	alice29.txt=1.0,1
onegigabyte*	lcet10.txt=1.0,1
onemegabyte*	lcet10.txt=1.3010299956639813,1
onepage*	lcet10.txt=1.0,1
oneroom*	lcet10.txt=1.0,1
ones*	alice29.txt=1.3010299956639813,asyoulik.txt=1.3010299956639813,lcet10.txt=2.3979400086720375,plrabn12.txt=1.0,4
oneself*	lcet10.txt=1.0,alice29.txt=1.0,2
onetime*	lcet10.txt=1.0,1
ongoing*	lcet10.txt=1.4771212547196624,1
onions*	alice29.txt=1.0,1
online*	lcet10.txt=2.7708520116421442,xargs.1=1.0,2
only*	alice29.txt=2.6901960800285134,asyoulik.txt=1.8450980400142567,lcet10.txt=2.7993405494535812,plrabn12.txt=2.924279286061881,xargs.1=1.3010299956639813,5
onscreen*	lcet10.txt=1.8450980400142567,1
onset*	plrabn12.txt=1.0,1
onseteither*	plrabn12.txt=1.0,1
onthespot*	lcet10.txt=1.0,1
onto*	lcet10.txt=1.6989700043360187,1
onward*	plrabn12.txt=1.7781512503836434,1
oose*	plrabn12.txt=1.0,1
opacous*	plrabn12.txt=1.3010299956639813,1
opal*	plrabn12.txt=1.0,1
opaque*	plrabn12.txt=1.0,1
ope*	plrabn12.txt=1.0,1
open*	alice29.txt=1.8450980400142567,asyoulik.txt=1.4771212547196624,lcet10.txt=2.2041199826559246,plrabn12.txt=2.4771212547196626,4
opened*	lcet10.txt=1.6020599913279623,alice29.txt=2.0,plrabn12.txt=2.0791812460476247,3
opener*	plrabn12.txt=1.3010299956639813,1
openest*	plrabn12.txt=1.0,1
opening*	alice29.txt=1.4771212547196624,asyoulik.txt=1.0,lcet10.txt=1.3010299956639813,plrabn12.txt=2.0791812460476247,4
opens*	plrabn12.txt=1.3010299956639813,lcet10.txt=1.0,2
operate*	lcet10.txt=1.4771212547196624,1
operated*	lcet10.txt=1.0,plrabn12.txt=1.0,2
operating*	lcet10.txt=2.0791812460476247,1
operation*	lcet10.txt=1.3010299956639813,plrabn12.txt=1.4771212547196624,2
operations*	lcet10.txt=1.6989700043360187,1
operator*	lcet10.txt=1.6989700043360187,1
operators*	lcet10.txt=1.3010299956639813,1
ophion*	plrabn12.txt=1.0,1
ophir*	plrabn12.txt=1.0,1
ophiuchus*	plrabn12.txt=1.0,1
ophiusa*	plrabn12.txt=1.0,1
opiate*	plrabn12.txt=1.0,1
opined*	lcet10.txt=1.6989700043360187,1
opinion*	alice29.txt=1.0,asyoulik.txt=1.3010299956639813,lcet10.txt=1.0,plrabn12.txt=1.3010299956639813,4
opinions*	plrabn12.txt=1.0,1
opportune*	plrabn12.txt=1.4771212547196624,1
opportunities*	lcet10.txt=1.4771212547196624,1
opportunity*	alice29.txt=1.9030899869919433,lcet10.txt=1.9542425094393248,2
oppose*	plrabn12.txt=1.6989700043360187,1
opposed*	lcet10.txt=2.041392685158225,plrabn12.txt=1.6989700043360187,2
opposite*	alice29.txt=1.0,plrabn12.txt=1.8450980400142567,2
opposition*	lcet10.txt=1.6989700043360187,plrabn12.txt=1.4771212547196624,2
oppressd*	asyoulik.txt=1.3010299956639813,1
oppressed*	plrabn12.txt=1.4771212547196624,1
oppresses*	plrabn12.txt=1.0,1
oppression*	plrabn12.txt=1.3010299956639813,1
opprobrious*	plrabn12.txt=1.4771212547196624,1
ops*	plrabn12.txt=1.0,1
opt*	lcet10.txt=1.0,1
optic*	plrabn12.txt=1.0,1
optical*	lcet10.txt=2.322219294733919,1
optick*	plrabn12.txt=1.0,1
optimism*	lcet10.txt=1.0,1
optimization*	lcet10.txt=1.0,1
optimize*	lcet10.txt=1.3010299956639813,1
optimized*	lcet10.txt=1.0,1
optimizes*	lcet10.txt=1.0,1
option*	fields.c=1.4771212547196624,lcet10.txt=1.0,xargs.1=1.7781512503836434,3
optional*	grammar.lsp=1.0,1
options*	lcet10.txt=2.2041199826559246,xargs.1=1.3010299956639813,2
or*	asyoulik.txt=2.763427993562937,alice29.txt=2.8808135922807914,cp.html=1.4771212547196624,fields.c=1.0,lcet10.txt=3.5276299008713385,plrabn12.txt=3.8561244442423,xargs.1=1.8450980400142567,7
oracle*	plrabn12.txt=1.3010299956639813,1
orange*	alice29.txt=1.0,lcet10.txt=1.0,2
orator*	plrabn12.txt=1.0,1
orators*	asyoulik.txt=1.0,1
oratory*	plrabn12.txt=1.0,1
orb*	plrabn12.txt=2.2041199826559246,1
orbed*	plrabn12.txt=1.0,1
orbicular*	plrabn12.txt=1.3010299956639813,1
orbs*	plrabn12.txt=2.0,1
orchard*	asyoulik.txt=1.3010299956639813,1
orcs*	plrabn12.txt=1.0,1
orcus*	plrabn12.txt=1.0,1
ordain*	plrabn12.txt=1.4771212547196624,1
ordaind*	plrabn12.txt=1.3010299956639813,1
ordained*	plrabn12.txt=2.3010299956639813,1
ordains*	plrabn12.txt=1.4771212547196624,1
order*	alice29.txt=1.4771212547196624,asyoulik.txt=1.0,lcet10.txt=2.568201724066995,plrabn12.txt=2.113943352306837,4
ordered*	alice29.txt=1.6020599913279623,plrabn12.txt=1.0,2
ordering*	alice29.txt=1.3010299956639813,lcet10.txt=1.0,plrabn12.txt=1.0,3
orderly*	plrabn12.txt=1.0,1
orderofmagnitude*	lcet10.txt=1.0,1
orders*	lcet10.txt=1.3010299956639813,plrabn12.txt=1.6989700043360187,2
ordersofmagnitude*	lcet10.txt=1.0,1
ordinarily*	lcet10.txt=1.3010299956639813,1
ordinary*	asyoulik.txt=1.3010299956639813,1
ore*	plrabn12.txt=1.6020599913279623,1
oread*	plrabn12.txt=1.0,1
oreb*	plrabn12.txt=1.4771212547196624,1
organ*	plrabn12.txt=1.3010299956639813,1
organic*	lcet10.txt=1.0,1
organick*	plrabn12.txt=1.0,1
organization*	lcet10.txt=1.8450980400142567,1
organizational*	lcet10.txt=1.6020599913279623,1
organizations*	lcet10.txt=1.9542425094393248,1
organizationsand*	lcet10.txt=1.0,1
organize*	lcet10.txt=1.4771212547196624,1
organized*	lcet10.txt=1.6020599913279623,1
organizing*	lcet10.txt=1.3010299956639813,1
organs*	plrabn12.txt=1.3010299956639813,1
orgies*	plrabn12.txt=1.0,1
orient*	plrabn12.txt=2.041392685158225,1
orientation*	lcet10.txt=1.0,1
oriented*	lcet10.txt=1.4771212547196624,1
orienting*	lcet10.txt=1.0,1
orifice*	plrabn12.txt=1.0,1
origin*	lcet10.txt=1.6020599913279623,1
original*	fields.c=1.0,lcet10.txt=2.462397997898956,plrabn12.txt=2.113943352306837,3
originality*	lcet10.txt=1.0,1
originally*	lcet10.txt=1.9030899869919433,plrabn12.txt=1.0,2
originals*	plrabn12.txt=1.0,lcet10.txt=1.6989700043360187,2
originates*	lcet10.txt=1.0,1
origins*	lcet10.txt=1.3010299956639813,1
origstr*	fields.c=1.7781512503836434,1
orion*	plrabn12.txt=1.0,1
orisons*	plrabn12.txt=1.3010299956639813,1
orlando*	asyoulik.txt=3.214843848047698,1
ormus*	plrabn12.txt=1.0,1
ornament*	plrabn12.txt=1.3010299956639813,1
ornamented*	alice29.txt=1.3010299956639813,1
ornaments*	plrabn12.txt=1.0,1
orontes*	plrabn12.txt=1.3010299956639813,1
orphean*	plrabn12.txt=1.0,1
orus*	plrabn12.txt=1.0,1
os*	lcet10.txt=1.0,1
os2*	lcet10.txt=1.0,1
osiers*	asyoulik.txt=1.0,1
osiris*	plrabn12.txt=1.0,1
other*	alice29.txt=2.591064607026499,asyoulik.txt=2.2041199826559246,lcet10.txt=3.130333768495006,plrabn12.txt=3.0569048513364723,xargs.1=1.3010299956639813,5
otherbill*	alice29.txt=1.0,1
others*	asyoulik.txt=1.3010299956639813,alice29.txt=1.8450980400142567,lcet10.txt=2.1760912590556813,plrabn12.txt=2.431363764158987,4
otherwise*	alice29.txt=1.6020599913279623,lcet10.txt=1.3010299956639813,plrabn12.txt=1.4771212547196624,xargs.1=1.0,4
ou*	alice29.txt=1.0,1
ought*	asyoulik.txt=1.0,alice29.txt=2.1461280356782377,lcet10.txt=1.9542425094393248,plrabn12.txt=1.3010299956639813,4
ounce*	plrabn12.txt=1.0,1
ounces*	plrabn12.txt=1.0,1
our*	alice29.txt=1.9030899869919433,asyoulik.txt=2.5314789170422554,lcet10.txt=2.1461280356782377,plrabn12.txt=3.4456042032735974,4
ours*	alice29.txt=1.0,plrabn12.txt=1.8450980400142567,2
ourselves*	alice29.txt=1.0,asyoulik.txt=1.0,lcet10.txt=1.4771212547196624,plrabn12.txt=2.0,4
out*	alice29.txt=3.0530784434834195,asyoulik.txt=2.6532125137753435,cp.html=1.0,fields.c=2.1760912590556813,lcet10.txt=2.7781512503836434,plrabn12.txt=2.8750612633916997,6
outcast*	plrabn12.txt=1.0,1
outcome*	lcet10.txt=1.4771212547196624,1
outcomea*	lcet10.txt=1.0,1
outcomes*	lcet10.txt=1.0,1
outcry*	plrabn12.txt=1.3010299956639813,1
outdo*	plrabn12.txt=1.0,1
outdone*	plrabn12.txt=1.0,1
outface*	asyoulik.txt=1.0,1
outflew*	plrabn12.txt=1.0,1
outgrew*	plrabn12.txt=1.0,1
outlast*	lcet10.txt=1.0,1
outlaws*	asyoulik.txt=1.0,1
outlined*	lcet10.txt=1.6989700043360187,1
outlive*	plrabn12.txt=1.0,1
outlook*	lcet10.txt=1.3010299956639813,1
outmost*	plrabn12.txt=1.0,1
outofcopyright*	lcet10.txt=1.0,1
outoftheway*	alice29.txt=1.4771212547196624,1
output*	lcet10.txt=1.7781512503836434,xargs.1=1.0,2
outrage*	plrabn12.txt=1.3010299956639813,1
outrageous*	plrabn12.txt=1.6020599913279623,1
outset*	lcet10.txt=1.7781512503836434,1
outshine*	plrabn12.txt=1.0,1
outshone*	plrabn12.txt=1.0,1
outside*	alice29.txt=1.6020599913279623,asyoulik.txt=1.0,lcet10.txt=2.041392685158225,plrabn12.txt=1.6020599913279623,4
outsourcing*	lcet10.txt=1.0,1
outspread*	plrabn12.txt=1.4771212547196624,1
outstay*	asyoulik.txt=1.0,1
outstretched*	plrabn12.txt=1.3010299956639813,1
outward*	plrabn12.txt=2.0791812460476247,1
outweigh*	lcet10.txt=1.0,1
over*	asyoulik.txt=1.7781512503836434,alice29.txt=2.6020599913279625,cp.html=1.0,lcet10.txt=2.518513939877887,plrabn12.txt=2.8129133566428552,5
overall*	lcet10.txt=1.4771212547196624,1
overarched*	plrabn12.txt=1.3010299956639813,1
overawed*	plrabn12.txt=1.0,1
overbuilt*	plrabn12.txt=1.0,1
overcame*	asyoulik.txt=1.0,1
overcome*	alice29.txt=1.0,asyoulik.txt=1.0,lcet10.txt=1.4771212547196624,plrabn12.txt=2.0791812460476247,4
overcomes*	plrabn12.txt=1.0,1
overcoming*	lcet10.txt=1.3010299956639813,plrabn12.txt=1.0,2
overemphasize*	lcet10.txt=1.3010299956639813,1
overfond*	plrabn12.txt=1.0,1
overgrown*	plrabn12.txt=1.3010299956639813,1
overgrowth*	plrabn12.txt=1.3010299956639813,1
overhead*	lcet10.txt=1.0,alice29.txt=1.0,plrabn12.txt=1.4771212547196624,3
overheard*	asyoulik.txt=1.0,plrabn12.txt=1.0,2
overhung*	plrabn12.txt=1.0,1
overjoyed*	plrabn12.txt=1.3010299956639813,1
overlaid*	plrabn12.txt=1.3010299956639813,1
overlay*	plrabn12.txt=1.0,1
overleaped*	plrabn12.txt=1.0,1
overlooked*	lcet10.txt=1.0,1
overloved*	plrabn12.txt=1.0,1
overmuch*	plrabn12.txt=1.3010299956639813,1
overnight*	lcet10.txt=1.0,1
overpower*	plrabn12.txt=1.0,1
overpowered*	plrabn12.txt=1.3010299956639813,1
overpraising*	plrabn12.txt=1.0,1
overreach*	plrabn12.txt=1.0,1
overreached*	plrabn12.txt=1.0,1
overriding*	lcet10.txt=1.0,1
overruld*	plrabn12.txt=1.0,1
overruled*	plrabn12.txt=1.3010299956639813,1
overseas*	lcet10.txt=1.3010299956639813,1
overshadow*	plrabn12.txt=1.0,1
overshadowing*	plrabn12.txt=1.0,1
overspread*	plrabn12.txt=1.0,1
overstress*	lcet10.txt=1.0,1
overt*	lcet10.txt=1.0,1
overthrew*	plrabn12.txt=1.3010299956639813,1
overthrow*	plrabn12.txt=1.3010299956639813,1
overthrown*	asyoulik.txt=1.3010299956639813,plrabn12.txt=1.3010299956639813,2
overtook*	plrabn12.txt=1.0,1
overtrusting*	plrabn12.txt=1.0,1
overture*	plrabn12.txt=1.0,1
overturned*	plrabn12.txt=1.0,1
overturns*	plrabn12.txt=1.0,1
overview*	lcet10.txt=2.342422680822206,1
overweening*	plrabn12.txt=1.0,1
overwhelm*	plrabn12.txt=1.0,1
overwhelmed*	plrabn12.txt=1.3010299956639813,1
overwoody*	plrabn12.txt=1.0,1
ovid*	asyoulik.txt=1.0,1
owe*	asyoulik.txt=1.3010299956639813,plrabn12.txt=2.0,2
owes*	lcet10.txt=1.0,plrabn12.txt=1.0,2
